userID,password,grp
1416455,student,student
1579288,student,student
1528882,student,student
1653725,student,student
1625654,student,student
1669953,student,student
1665555,student,student
1616161,student,student
1633554,student,student
1645333,student,student
1691291,student,student
1662147,student,student
1691483,student,student
1674181,student,student
1641252,student,student
1695837,student,student
1613273,student,student
1612985,student,student
1623112,student,student
1668314,student,student
1622731,student,student
1696326,student,student
1646434,student,student
1614142,student,student
1654432,student,student
1678812,student,student
1614733,student,student
1665491,student,student
1634352,student,student
1661638,student,student
1686272,student,student
1729416,student,student
1763881,student,student
1781682,student,student
1778274,student,student
1795656,student,student
1773277,student,student
1759787,student,student
1743714,student,student
1747457,student,student
1728125,student,student
1783512,student,student
1768463,student,student
1797625,student,student
1754681,student,student
1798883,student,student
1769463,student,student
1766156,student,student
1772947,student,student
1731817,student,student
1752538,student,student
1731852,student,student
1766176,student,student
1715578,student,student
1745484,student,student
1791753,student,student
1742892,student,student
1788337,student,student
1736425,student,student
1728439,student,student
1712983,student,student
1718437,student,student
1784847,student,student
1737824,student,student
1797789,student,student
1728139,student,student
1711619,student,student
1789481,student,student
1711729,student,student
1773384,student,student
1762565,student,student
1898334,student,student
1892367,student,student
1863951,student,student
1835298,student,student
1835874,student,student
1849651,student,student
1872128,student,student
1887973,student,student
1886577,student,student
1877262,student,student
1873255,student,student
1834433,student,student
1868128,student,student
1845457,student,student
1855787,student,student
1893863,student,student
1842333,student,student
1416456,student,student
1579289,student,student
1528883,student,student
1653726,student,student
1625655,student,student
1669954,student,student
1665556,student,student
1616162,student,student
1633555,student,student
1645334,student,student
1691292,student,student
1662148,student,student
1691484,student,student
1674182,student,student
1641253,student,student
1695838,student,student
1613274,student,student
1612986,student,student
1623113,student,student
1668315,student,student
1622732,student,student
1696327,student,student
1646435,student,student
1614143,student,student
1654433,student,student
1678813,student,student
1614734,student,student
1665492,student,student
1634353,student,student
1661639,student,student
1686273,student,student
1729417,student,student
1763882,student,student
1781683,student,student
1778275,student,student
1795657,student,student
1773278,student,student
1759788,student,student
1743715,student,student
1747458,student,student
1728126,student,student
1783513,student,student
1768464,student,student
1797626,student,student
1754682,student,student
1798884,student,student
1769464,student,student
1766157,student,student
1772948,student,student
1731818,student,student
1752539,student,student
1731853,student,student
1766177,student,student
1715579,student,student
1745485,student,student
1791754,student,student
1742893,student,student
1788338,student,student
1736426,student,student
1728440,student,student
1712984,student,student
1718438,student,student
1784848,student,student
1737825,student,student
1797790,student,student
1728140,student,student
1711620,student,student
1789482,student,student
1711730,student,student
1773385,student,student
1762566,student,student
1898335,student,student
1892368,student,student
1863952,student,student
1835299,student,student
1835875,student,student
1849652,student,student
1872129,student,student
1887974,student,student
1886578,student,student
1877263,student,student
1873256,student,student
1834434,student,student
1868129,student,student
1845458,student,student
1855788,student,student
1893864,student,student
1842334,student,student
1416457,student,student
1579290,student,student
1528884,student,student
1653727,student,student
1625656,student,student
1669955,student,student
1665557,student,student
1616163,student,student
1633556,student,student
1645335,student,student
1691293,student,student
1662149,student,student
1691485,student,student
1674183,student,student
1641254,student,student
1695839,student,student
1613275,student,student
1612987,student,student
1623114,student,student
1668316,student,student
1622733,student,student
1696328,student,student
1646436,student,student
1614144,student,student
1654434,student,student
1678814,student,student
1614735,student,student
1665493,student,student
1634354,student,student
1661640,student,student
1686274,student,student
1729418,student,student
1763883,student,student
1781684,student,student
1778276,student,student
1795658,student,student
1773279,student,student
1759789,student,student
1743716,student,student
1747459,student,student
1728127,student,student
1783514,student,student
1768465,student,student
1797627,student,student
1754683,student,student
1798885,student,student
1769465,student,student
1766158,student,student
1772949,student,student
1731819,student,student
1752540,student,student
1731854,student,student
1766178,student,student
1715580,student,student
1745486,student,student
1791755,student,student
1742894,student,student
1788339,student,student
1736427,student,student
1728441,student,student
1712985,student,student
1718439,student,student
1784849,student,student
1737826,student,student
1797791,student,student
1728141,student,student
1711621,student,student
1789483,student,student
1711731,student,student
1773386,student,student
1762567,student,student
1898336,student,student
1892369,student,student
1863953,student,student
1835300,student,student
1835876,student,student
1849653,student,student
1872130,student,student
1887975,student,student
1886579,student,student
1877264,student,student
1873257,student,student
1834435,student,student
1868130,student,student
1845459,student,student
1855789,student,student
1893865,student,student
1842335,student,student
1652311,student,student
1652312,student,student
1652313,student,student
1652314,student,student
1652315,student,student
1652316,student,student
1652317,student,student
1652318,student,student
1652319,student,student
1652320,student,student
1652321,student,student
1652322,student,student
1652323,student,student
1652324,student,student
1652325,student,student
1652326,student,student
1652327,student,student
1652328,student,student
1652329,student,student
1652330,student,student
1652331,student,student
1652332,student,student
1652333,student,student
1652334,student,student
1652335,student,student
1652336,student,student
1652337,student,student
1652338,student,student
1652339,student,student
1652340,student,student
1652341,student,student
1652342,student,student
1652343,student,student
1652344,student,student
1652345,student,student
1652346,student,student
1652347,student,student
1652348,student,student
1652349,student,student
1652350,student,student
1652351,student,student
1652352,student,student
1652353,student,student
1652354,student,student
1652355,student,student
1652356,student,student
1652357,student,student
1652358,student,student
1652359,student,student
1652360,student,student
1652361,student,student
1652362,student,student
1652363,student,student
1652364,student,student
1652365,student,student
1652366,student,student
1652367,student,student
1652368,student,student
1652369,student,student
1652370,student,student
1652371,student,student
1652372,student,student
1652373,student,student
1652374,student,student
1652375,student,student
1652376,student,student
1652377,student,student
1652378,student,student
1652379,student,student
1652380,student,student
1652381,student,student
1652382,student,student
1652383,student,student
1652384,student,student
1652385,student,student
1652386,student,student
1652387,student,student
1652388,student,student
1652389,student,student
1652390,student,student
1652391,student,student
1652392,student,student
1652393,student,student
1652394,student,student
1652395,student,student
1652396,student,student
1652397,student,student
1652398,student,student
1652411,student,student
1652412,student,student
1652413,student,student
1652414,student,student
1652415,student,student
1652416,student,student
1652417,student,student
1652418,student,student
1652419,student,student
1652420,student,student
1652421,student,student
1652422,student,student
1652423,student,student
1652424,student,student
1652425,student,student
1652426,student,student
1652427,student,student
1652428,student,student
1652429,student,student
1652430,student,student
1652431,student,student
1652432,student,student
1652433,student,student
1652434,student,student
1652435,student,student
1652436,student,student
1652437,student,student
1652438,student,student
1652439,student,student
1652440,student,student
1652441,student,student
1652442,student,student
1652443,student,student
1652444,student,student
1652445,student,student
1652446,student,student
1652447,student,student
1652448,student,student
1652449,student,student
1652450,student,student
1652451,student,student
1652452,student,student
1652453,student,student
1652454,student,student
1652455,student,student
1652456,student,student
1652457,student,student
1652458,student,student
1652459,student,student
1652460,student,student
